,relevent_experience,company_size,training_hours
11523,Has relevent experience,10000+,68
11524,Has relevent experience,50-99,10
11525,Has relevent experience,100-500,10
11526,Has relevent experience,50-99,66
11527,Has relevent experience,10000+,41
11528,Has relevent experience,no experience,23
11529,Has relevent experience,1000-4999,110
11530,Has relevent experience,50-99,44
11531,Has relevent experience,10000+,29
11532,Has relevent experience,no experience,110
11533,Has relevent experience,no experience,76
11534,No relevent experience,no experience,96
11535,Has relevent experience,50-99,106
11536,Has relevent experience,100-500,60
11537,No relevent experience,5000-9999,119
11538,Has relevent experience,10/49,53
11539,Has relevent experience,<10,188
11540,Has relevent experience,50-99,11
11541,Has relevent experience,10000+,135
11542,Has relevent experience,100-500,61
11543,Has relevent experience,100-500,63
11544,Has relevent experience,50-99,42
11545,No relevent experience,no experience,13
11546,Has relevent experience,no experience,9
11547,No relevent experience,no experience,84
11548,Has relevent experience,10/49,106
11549,No relevent experience,no experience,28
11550,No relevent experience,no experience,48
11551,No relevent experience,50-99,123
11552,Has relevent experience,1000-4999,72
11553,No relevent experience,no experience,56
11554,No relevent experience,no experience,17
11555,Has relevent experience,10000+,34
11556,Has relevent experience,50-99,76
11557,No relevent experience,no experience,18
11558,No relevent experience,no experience,72
11559,Has relevent experience,500-999,56
11560,Has relevent experience,50-99,25
11561,Has relevent experience,10000+,78
11562,No relevent experience,no experience,33
11563,No relevent experience,no experience,38
11564,Has relevent experience,no experience,52
11565,Has relevent experience,10/49,10
11566,Has relevent experience,10/49,70
11567,No relevent experience,no experience,43
11568,Has relevent experience,1000-4999,105
11569,Has relevent experience,10000+,36
11570,Has relevent experience,1000-4999,43
11571,Has relevent experience,10000+,25
11572,No relevent experience,no experience,290
11573,No relevent experience,no experience,30
11574,No relevent experience,no experience,82
11575,No relevent experience,1000-4999,60
11576,Has relevent experience,10000+,218
11577,Has relevent experience,10000+,15
11578,Has relevent experience,50-99,35
11579,Has relevent experience,1000-4999,25
11580,No relevent experience,no experience,23
11581,Has relevent experience,50-99,218
11582,No relevent experience,no experience,134
11583,Has relevent experience,50-99,65
11584,Has relevent experience,50-99,70
11585,Has relevent experience,no experience,135
11586,Has relevent experience,10000+,96
11587,No relevent experience,no experience,15
11588,No relevent experience,no experience,43
11589,Has relevent experience,10/49,144
11590,Has relevent experience,no experience,121
11591,Has relevent experience,50-99,32
11592,Has relevent experience,100-500,89
11593,Has relevent experience,500-999,16
11594,Has relevent experience,50-99,302
11595,No relevent experience,10/49,40
11596,Has relevent experience,50-99,35
11597,Has relevent experience,1000-4999,50
11598,Has relevent experience,<10,87
11599,No relevent experience,no experience,96
11600,No relevent experience,no experience,2
11601,Has relevent experience,100-500,38
11602,Has relevent experience,100-500,7
11603,Has relevent experience,100-500,50
11604,Has relevent experience,10000+,43
11605,No relevent experience,no experience,9
11606,No relevent experience,50-99,144
11607,Has relevent experience,50-99,36
11608,Has relevent experience,500-999,48
11609,Has relevent experience,no experience,37
11610,Has relevent experience,10/49,18
11611,Has relevent experience,1000-4999,102
11612,Has relevent experience,100-500,124
11613,Has relevent experience,no experience,51
11614,Has relevent experience,no experience,312
11615,No relevent experience,no experience,182
11616,Has relevent experience,50-99,132
11617,No relevent experience,no experience,82
11618,Has relevent experience,10/49,135
11619,Has relevent experience,50-99,13
11620,No relevent experience,no experience,50
11621,Has relevent experience,5000-9999,28
11622,No relevent experience,50-99,40
11623,Has relevent experience,50-99,170
11624,Has relevent experience,50-99,28
11625,No relevent experience,no experience,66
11626,Has relevent experience,no experience,9
11627,Has relevent experience,1000-4999,11
11628,Has relevent experience,50-99,17
11629,Has relevent experience,<10,118
11630,Has relevent experience,10000+,29
11631,No relevent experience,no experience,182
11632,Has relevent experience,100-500,76
11633,No relevent experience,no experience,33
11634,Has relevent experience,50-99,72
11635,No relevent experience,no experience,107
11636,Has relevent experience,<10,8
11637,No relevent experience,no experience,66
11638,Has relevent experience,no experience,46
11639,Has relevent experience,10/49,107
11640,Has relevent experience,100-500,94
11641,Has relevent experience,1000-4999,50
11642,Has relevent experience,no experience,39
11643,Has relevent experience,50-99,37
11644,No relevent experience,10000+,144
11645,Has relevent experience,1000-4999,19
11646,Has relevent experience,no experience,28
11647,Has relevent experience,no experience,47
11648,Has relevent experience,50-99,7
11649,Has relevent experience,500-999,42
11650,No relevent experience,1000-4999,37
11651,Has relevent experience,no experience,48
11652,No relevent experience,100-500,46
11653,Has relevent experience,<10,78
11654,Has relevent experience,1000-4999,110
11655,Has relevent experience,10/49,102
11656,Has relevent experience,<10,8
11657,Has relevent experience,no experience,128
11658,Has relevent experience,50-99,46
11659,Has relevent experience,100-500,24
11660,Has relevent experience,50-99,13
11661,Has relevent experience,10000+,84
11662,Has relevent experience,1000-4999,36
11663,Has relevent experience,1000-4999,6
11664,Has relevent experience,<10,34
11665,Has relevent experience,<10,100
11666,Has relevent experience,50-99,52
11667,No relevent experience,no experience,74
11668,No relevent experience,no experience,110
11669,Has relevent experience,50-99,131
11670,Has relevent experience,1000-4999,12
11671,No relevent experience,no experience,6
11672,No relevent experience,1000-4999,51
11673,No relevent experience,no experience,56
11674,Has relevent experience,1000-4999,18
11675,Has relevent experience,5000-9999,136
11676,No relevent experience,no experience,14
11677,Has relevent experience,no experience,43
11678,Has relevent experience,10000+,108
11679,Has relevent experience,50-99,41
11680,Has relevent experience,100-500,70
11681,Has relevent experience,10000+,168
11682,Has relevent experience,50-99,224
11683,Has relevent experience,10000+,228
11684,Has relevent experience,500-999,131
11685,No relevent experience,5000-9999,46
11686,Has relevent experience,no experience,44
11687,Has relevent experience,100-500,7
11688,Has relevent experience,10/49,68
11689,No relevent experience,no experience,23
11690,Has relevent experience,<10,83
11691,Has relevent experience,<10,149
11692,Has relevent experience,5000-9999,162
11693,Has relevent experience,no experience,27
11694,Has relevent experience,10/49,119
11695,No relevent experience,no experience,41
11696,No relevent experience,50-99,72
11697,Has relevent experience,10000+,3
11698,Has relevent experience,50-99,28
11699,Has relevent experience,10/49,39
11700,Has relevent experience,<10,144
11701,Has relevent experience,no experience,184
11702,No relevent experience,10/49,37
11703,Has relevent experience,50-99,40
11704,Has relevent experience,10000+,44
11705,Has relevent experience,10/49,23
11706,Has relevent experience,50-99,138
11707,Has relevent experience,100-500,76
11708,Has relevent experience,50-99,29
11709,Has relevent experience,no experience,150
11710,Has relevent experience,10000+,61
11711,Has relevent experience,no experience,25
11712,Has relevent experience,100-500,130
11713,No relevent experience,50-99,7
11714,Has relevent experience,1000-4999,62
11715,No relevent experience,no experience,89
11716,Has relevent experience,1000-4999,18
11717,Has relevent experience,1000-4999,92
11718,No relevent experience,500-999,39
11719,Has relevent experience,50-99,25
11720,Has relevent experience,<10,294
11721,No relevent experience,no experience,2
11722,Has relevent experience,1000-4999,1
11723,Has relevent experience,100-500,14
11724,Has relevent experience,10000+,80
11725,Has relevent experience,no experience,88
11726,Has relevent experience,100-500,8
11727,No relevent experience,no experience,54
11728,Has relevent experience,<10,32
11729,Has relevent experience,no experience,160
11730,Has relevent experience,50-99,10
11731,Has relevent experience,50-99,10
11732,Has relevent experience,100-500,11
11733,No relevent experience,50-99,90
11734,Has relevent experience,10000+,21
11735,Has relevent experience,500-999,36
11736,Has relevent experience,100-500,43
11737,Has relevent experience,1000-4999,35
11738,Has relevent experience,100-500,46
11739,No relevent experience,no experience,53
11740,Has relevent experience,50-99,15
11741,No relevent experience,no experience,24
11742,Has relevent experience,100-500,97
11743,No relevent experience,no experience,5
11744,Has relevent experience,50-99,94
11745,Has relevent experience,no experience,44
11746,Has relevent experience,no experience,40
11747,Has relevent experience,no experience,28
11748,Has relevent experience,10000+,34
11749,No relevent experience,no experience,18
11750,Has relevent experience,<10,55
11751,No relevent experience,no experience,140
11752,No relevent experience,no experience,47
11753,Has relevent experience,no experience,20
11754,Has relevent experience,50-99,10
11755,Has relevent experience,no experience,106
11756,Has relevent experience,10000+,23
11757,No relevent experience,10/49,110
11758,Has relevent experience,5000-9999,36
11759,No relevent experience,50-99,162
11760,Has relevent experience,1000-4999,43
11761,Has relevent experience,50-99,30
11762,Has relevent experience,50-99,29
11763,No relevent experience,10000+,75
